State,Total Schools,,Total Students,Student per Teacher,Students Passed,Percent Passed,Number of Females,Number of Females Passed,Percent of Females Passed,Percent Passed,Number of Blacks,Number of Blacks Passed,Percent of Blacks Passed,Percent of Blacks taking exam,Percent of blacks in the state,Blacks taking over black in state,Number of black females,Number of black females passed,Percent of Black Females Passed,Number of Hispanic,Number of Hispanic Passed,Percent of Hispanic Passed,Number of Hispanic Females,Number of Hispanic Females Passed,Percent of Hispanic Females Passed,Percent of Hispanic taking exam,Percent of Hispanic in state,Hispanic taking over hispanic in state
Vermont,7,,47,6.71,39,82.98,3,*,*,6.38,1,*,*,2.13,0.87,244.5585718,1,*,*,1,*,*,0,0,0,2.13,1.5,141.84
Idaho,6,,47,7.83,32,68.09,9,6,66.67,19.15,0,0,0.00,0,0.95,0,0,0,0,0,0,0,0,0,0,0,11.2,0
Kansas,12,,47,3.92,33,70.21,3,*,*,6.38,0,0,0.00,0,6.2,0,0,0,0,0,0,0,0,0,0,0,10.5,0
Nebraska,12,,46,3.83,35,76.09,5,5,100,10.87,0,0,0.00,0,4.5,0,0,0,0,0,0,0,0,0,0,0,9.2,0
Louisiana,21,,40,1.9,23,57.5,3,*,*,7.5,2,*,*,5,32,15.625,0,0,0,3,*,*,0,0,0,7.5,4.2,178.57
South Dakota,4,,33,8.25,,,5,4,80,15.15,1,*,*,3.03,1.14,265.8160553,1,*,*,1,*,*,0,0,0,3.03,2.7,112.23
Alaska,2,,21,10.5,21,100,2,*,*,9.52,0,0,0.00,0,4.3,0,0,0,0,0,0,0,0,0,0,0,5.5,0
Montana,0,,11,*,6,54.55,0,0,0,0,0,0,0.00,0,0.67,0,0,0,0,0,0,0,0,0,0,0,2.9,0
North Dakota,1,,9,9,6,66.67,2,*,*,22.22,0,0,0.00,0,1.08,0,0,0,0,0,0,0,0,0,0,0,2,0
Mississippi,2,,1,0.5,*,*,0,0,0,0,0,0,0.00,0,37.3,0,0,0,0,0,0,0,0,0,0,0,2.7,0
Wyoming,2,,0,0,0,0,0,0,0,0,0,0,0.00,0,1.29,0,0,0,0,0,0,0,0,0,0,0,8.9,0
,,,,,,,,,,,10,,,,,,,,,7,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
